"Gene","metaRanking","RP"
"MIR520C",842,1505
"TXNP4",843,1507
"RN7SL294P",844,1509
"OR11H7",845,1510
"RPS7P4",846,1512
"APITD1-CORT",847,1513
"RNU6-879P",848,1514
"RPL12P2",849,1516
"RNU6-197P",850,1518
"SKOR2",851,1519
"PRAMENP",852,1521
"RN7SKP211",853,1522
"LOC101927609",854,1524
"SUN2",855,1524
"CRYM-AS1",856,1526
"RNY3P5",857,1529
"LOC100291105",858,1531
"RNU4-88P",859,1534
"RNU6-956P",860,1537
"LOC400867",861,1539
"LINC01126",862,1540
"RN7SL792P",863,1541
"RN7SKP200",864,1543
"RN7SKP232",865,1544
"RNU6-1050P",866,1546
"RNU6-552P",867,1547
"FAM226B",868,1549
"PPIAP9",869,1550
"RNU6-1129P",870,1552
"RNA5SP237",871,1555
"RNU6-604P",872,1559
"RPS2P5",873,1562
"RNA5SP322",874,1564
"RN7SL566P",875,1566
"RP5-1039K5.16",876,1567
"PTGES3P3",877,1568
"METTL17",878,1569
"OR7A15P",879,1571
"RN7SL745P",880,1573
"RNU6-151P",881,1575
"PROSER3",882,1576
"RN7SL282P",883,1577
"RNU11-2P",884,1579
"LINC00523",885,1580
"LINC-PINT",886,1582
"RNU6-154P",887,1585
"RNU4-79P",888,1587
"MAFG-AS1",889,1588
"RNU6-213P",890,1591
"LOC101929465",891,1593
"EPHX4",892,1594
"OR8F1P",893,1595
"RN7SL28P",894,1598
"RNU6-752P",895,1599
"RN7SL482P",896,1601
"RAD51D",897,1601
"EXO5",898,1601
"DUTP1",899,1603
"RN7SKP33",900,1604
"RN7SL789P",901,1605
"CTDNEP1",902,1606
"RNA5SP190",903,1607
"TATDN2P1",904,1608
"RNU6-71P",905,1610
"LOC101928049",906,1612
"EIF1",907,1613
"RNU6-720P",908,1614
"RNA5SP457",909,1616
"MAMSTR",910,1617
"RNA5SP147",911,1617
"RP11-403P17.3",912,1619
"SNORD114-26",913,1622
"RNU6-686P",914,1624
"RNU6-1242P",915,1625
"WRAP73",916,1626
"NUTF2P4",917,1629
"BLOC1S5-TXNDC5",918,1631
"RN7SL740P",919,1632
"PFN1P9",920,1637
"RNA5SP207",921,1639
"RPL7L1P8",922,1641
"RNU6-801P",923,1643
"FLJ38894",924,1644
"RNU6-159P",925,1646
"ATG13",926,1646
"RNU4-10P",927,1647
"RN7SKP178",928,1648
"PTMAP5",929,1650
"SLC7A5P2",930,1651
"ARHGAP19-SLIT1",931,1655
"LOC101928666",932,1656
"RNU6-1127P",933,1658
"TMEM8B",934,1659
"RNA5SP398",935,1660
"PALM3",936,1663
"RN7SL105P",937,1663
"HID1",938,1664
"RPL30P1",939,1665
"LOC101928211",940,1666
"RNA5SP112",941,1668
"RNU6-492P",942,1670
"LOC102723661",943,1673
"RNU2-54P",944,1674
"PRR21",945,1675
"RNU6-1231P",946,1678
"C2orf81",947,1679
"LRR1",948,1680
"RN7SL325P",949,1680
"RN7SL753P",950,1682
"OR5P1P",951,1684
"RNU6-773P",952,1685
"RNU6-472P",953,1688
"RN7SL634P",954,1692
"LIPT2",955,1693
"RNU6-803P",956,1697
"RPS17P5",957,1699
"RNU2-60P",958,1700
"UPK1A-AS1",959,1701
"RNU6-1037P",960,1702
"RNU6-793P",961,1705
"SLC9C1",962,1706
"RN7SL40P",963,1708
"RNU11-3P",964,1709
"RPL41",965,1710
"SUZ12P1",966,1711
"RN7SKP262",967,1713
"OR9K1P",968,1714
"RN7SKP181",969,1716
"RNA5SP488",970,1719
"RPS18",971,1719
"BIN2P1",972,1721
"SUN3",973,1721
"RNA5SP189",974,1723
"RNU6-670P",975,1724
"SRRM1",976,1726
"RN7SL449P",977,1727
"RNU6-712P",978,1728
"RNU6-194P",979,1729
"RN7SL516P",980,1731
"SPDYE9P",981,1733
